date,year,month,day_of_week,day_of_month,week_of_year,season,barangay_id,medicine_name,medicine_category,quantity_requested
2025-10-21,2025,10,1,21,43,Wet,BRGY012,ORS (Oral Rehydration Salts),Rehydration,7
2025-11-05,2025,11,2,5,45,Wet,BRGY012,ORS (Oral Rehydration Salts),Rehydration,5
2025-11-18,2025,11,1,18,47,Wet,BRGY012,ORS (Oral Rehydration Salts),Rehydration,3
2025-12-05,2025,12,4,5,49,Dry,BRGY012,ORS (Oral Rehydration Salts),Rehydration,2
2025-12-23,2025,12,1,23,52,Dry,BRGY012,ORS (Oral Rehydration Salts),Rehydration,6
2026-01-11,2026,1,6,11,2,Dry,BRGY012,ORS (Oral Rehydration Salts),Rehydration,9
2026-01-24,2026,1,5,24,4,Dry,BRGY012,ORS (Oral Rehydration Salts),Rehydration,7
2026-02-07,2026,2,5,7,6,Dry,BRGY012,ORS (Oral Rehydration Salts),Rehydration,4
2026-02-21,2026,2,5,21,8,Dry,BRGY012,ORS (Oral Rehydration Salts),Rehydration,4
2026-03-10,2026,3,1,10,11,Dry,BRGY012,ORS (Oral Rehydration Salts),Rehydration,4
2026-03-27,2026,3,4,27,13,Dry,BRGY012,ORS (Oral Rehydration Salts),Rehydration,6
2026-04-15,2026,4,2,15,16,Dry,BRGY012,ORS (Oral Rehydration Salts),Rehydration,3
2026-05-02,2026,5,5,2,18,Dry,BRGY012,ORS (Oral Rehydration Salts),Rehydration,2
2026-05-19,2026,5,1,19,21,Dry,BRGY012,ORS (Oral Rehydration Salts),Rehydration,4
2026-06-02,2026,6,1,2,23,Wet,BRGY012,ORS (Oral Rehydration Salts),Rehydration,4
2026-06-18,2026,6,3,18,25,Wet,BRGY012,ORS (Oral Rehydration Salts),Rehydration,5
2026-07-07,2026,7,1,7,28,Wet,BRGY012,ORS (Oral Rehydration Salts),Rehydration,4
2026-07-25,2026,7,5,25,30,Wet,BRGY012,ORS (Oral Rehydration Salts),Rehydration,5
2026-08-10,2026,8,0,10,33,Wet,BRGY012,ORS (Oral Rehydration Salts),Rehydration,3
2021-08-16,2021,8,0,16,33,Wet,BRGY012,Mefenamic Acid,Pain Reliever,6
2021-09-05,2021,9,6,5,35,Wet,BRGY012,Mefenamic Acid,Pain Reliever,3
2021-09-24,2021,9,4,24,38,Wet,BRGY012,Mefenamic Acid,Pain Reliever,5
2021-10-11,2021,10,0,11,41,Wet,BRGY012,Mefenamic Acid,Pain Reliever,5
2021-10-31,2021,10,6,31,43,Wet,BRGY012,Mefenamic Acid,Pain Reliever,7
2021-11-19,2021,11,4,19,46,Wet,BRGY012,Mefenamic Acid,Pain Reliever,3
2021-12-11,2021,12,5,11,49,Dry,BRGY012,Mefenamic Acid,Pain Reliever,7
2021-12-30,2021,12,3,30,52,Dry,BRGY012,Mefenamic Acid,Pain Reliever,4
2022-01-16,2022,1,6,16,2,Dry,BRGY012,Mefenamic Acid,Pain Reliever,3
2022-02-08,2022,2,1,8,6,Dry,BRGY012,Mefenamic Acid,Pain Reliever,8
2022-02-27,2022,2,6,27,8,Dry,BRGY012,Mefenamic Acid,Pain Reliever,4
2022-03-22,2022,3,1,22,12,Dry,BRGY012,Mefenamic Acid,Pain Reliever,3
2022-04-10,2022,4,6,10,14,Dry,BRGY012,Mefenamic Acid,Pain Reliever,2
2022-04-28,2022,4,3,28,17,Dry,BRGY012,Mefenamic Acid,Pain Reliever,3
2022-05-17,2022,5,1,17,20,Dry,BRGY012,Mefenamic Acid,Pain Reliever,3
2022-06-09,2022,6,3,9,23,Wet,BRGY012,Mefenamic Acid,Pain Reliever,3
2022-07-15,2022,7,4,15,28,Wet,BRGY012,Mefenamic Acid,Pain Reliever,5
2022-08-01,2022,8,0,1,31,Wet,BRGY012,Mefenamic Acid,Pain Reliever,6
2022-08-20,2022,8,5,20,33,Wet,BRGY012,Mefenamic Acid,Pain Reliever,4
2022-09-06,2022,9,1,6,36,Wet,BRGY012,Mefenamic Acid,Pain Reliever,9
2022-09-26,2022,9,0,26,39,Wet,BRGY012,Mefenamic Acid,Pain Reliever,4
2022-10-18,2022,10,1,18,42,Wet,BRGY012,Mefenamic Acid,Pain Reliever,3
2022-11-06,2022,11,6,6,44,Wet,BRGY012,Mefenamic Acid,Pain Reliever,7
2022-11-25,2022,11,4,25,47,Wet,BRGY012,Mefenamic Acid,Pain Reliever,5
2022-12-13,2022,12,1,13,50,Dry,BRGY012,Mefenamic Acid,Pain Reliever,1
2023-01-01,2023,1,6,1,52,Dry,BRGY012,Mefenamic Acid,Pain Reliever,4
2023-01-24,2023,1,1,24,4,Dry,BRGY012,Mefenamic Acid,Pain Reliever,4
2023-02-10,2023,2,4,10,6,Dry,BRGY012,Mefenamic Acid,Pain Reliever,9
2023-03-02,2023,3,3,2,9,Dry,BRGY012,Mefenamic Acid,Pain Reliever,8
2023-03-21,2023,3,1,21,12,Dry,BRGY012,Mefenamic Acid,Pain Reliever,4
2023-04-10,2023,4,0,10,15,Dry,BRGY012,Mefenamic Acid,Pain Reliever,7
2023-05-02,2023,5,1,2,18,Dry,BRGY012,Mefenamic Acid,Pain Reliever,1
2023-05-20,2023,5,5,20,20,Dry,BRGY012,Mefenamic Acid,Pain Reliever,4
2023-06-06,2023,6,1,6,23,Wet,BRGY012,Mefenamic Acid,Pain Reliever,4
2023-06-24,2023,6,5,24,25,Wet,BRGY012,Mefenamic Acid,Pain Reliever,2
2023-07-17,2023,7,0,17,29,Wet,BRGY012,Mefenamic Acid,Pain Reliever,5
2023-08-07,2023,8,0,7,32,Wet,BRGY012,Mefenamic Acid,Pain Reliever,7
2023-08-26,2023,8,5,26,34,Wet,BRGY012,Mefenamic Acid,Pain Reliever,4
2023-09-17,2023,9,6,17,37,Wet,BRGY012,Mefenamic Acid,Pain Reliever,4
2023-10-06,2023,10,4,6,40,Wet,BRGY012,Mefenamic Acid,Pain Reliever,4
2023-10-26,2023,10,3,26,43,Wet,BRGY012,Mefenamic Acid,Pain Reliever,2
2023-11-15,2023,11,2,15,46,Wet,BRGY012,Mefenamic Acid,Pain Reliever,4
2023-12-08,2023,12,4,8,49,Dry,BRGY012,Mefenamic Acid,Pain Reliever,4
2023-12-27,2023,12,2,27,52,Dry,BRGY012,Mefenamic Acid,Pain Reliever,7
2024-01-14,2024,1,6,14,2,Dry,BRGY012,Mefenamic Acid,Pain Reliever,6
2024-01-31,2024,1,2,31,5,Dry,BRGY012,Mefenamic Acid,Pain Reliever,4
2024-02-18,2024,2,6,18,7,Dry,BRGY012,Mefenamic Acid,Pain Reliever,8
2024-03-08,2024,3,4,8,10,Dry,BRGY012,Mefenamic Acid,Pain Reliever,7
2024-03-26,2024,3,1,26,13,Dry,BRGY012,Mefenamic Acid,Pain Reliever,6
2024-04-18,2024,4,3,18,16,Dry,BRGY012,Mefenamic Acid,Pain Reliever,7
2024-05-09,2024,5,3,9,19,Dry,BRGY012,Mefenamic Acid,Pain Reliever,4
2024-06-01,2024,6,5,1,22,Wet,BRGY012,Mefenamic Acid,Pain Reliever,4
2024-06-24,2024,6,0,24,26,Wet,BRGY012,Mefenamic Acid,Pain Reliever,6
2024-07-11,2024,7,3,11,28,Wet,BRGY012,Mefenamic Acid,Pain Reliever,5
2024-07-29,2024,7,0,29,31,Wet,BRGY012,Mefenamic Acid,Pain Reliever,6
2024-08-15,2024,8,3,15,33,Wet,BRGY012,Mefenamic Acid,Pain Reliever,4
2024-09-02,2024,9,0,2,36,Wet,BRGY012,Mefenamic Acid,Pain Reliever,5
2024-09-20,2024,9,4,20,38,Wet,BRGY012,Mefenamic Acid,Pain Reliever,2
2024-10-12,2024,10,5,12,41,Wet,BRGY012,Mefenamic Acid,Pain Reliever,7
2024-11-01,2024,11,4,1,44,Wet,BRGY012,Mefenamic Acid,Pain Reliever,3
2024-11-20,2024,11,2,20,47,Wet,BRGY012,Mefenamic Acid,Pain Reliever,7
2024-12-13,2024,12,4,13,50,Dry,BRGY012,Mefenamic Acid,Pain Reliever,5
2025-01-02,2025,1,3,2,1,Dry,BRGY012,Mefenamic Acid,Pain Reliever,2
2025-01-19,2025,1,6,19,3,Dry,BRGY012,Mefenamic Acid,Pain Reliever,4
2025-02-09,2025,2,6,9,6,Dry,BRGY012,Mefenamic Acid,Pain Reliever,9
2025-02-27,2025,2,3,27,9,Dry,BRGY012,Mefenamic Acid,Pain Reliever,6
2025-03-18,2025,3,1,18,12,Dry,BRGY012,Mefenamic Acid,Pain Reliever,6
2025-04-06,2025,4,6,6,14,Dry,BRGY012,Mefenamic Acid,Pain Reliever,6
2025-04-23,2025,4,2,23,17,Dry,BRGY012,Mefenamic Acid,Pain Reliever,4
2025-05-12,2025,5,0,12,20,Dry,BRGY012,Mefenamic Acid,Pain Reliever,5
2025-06-02,2025,6,0,2,23,Wet,BRGY012,Mefenamic Acid,Pain Reliever,6
2025-06-21,2025,6,5,21,25,Wet,BRGY012,Mefenamic Acid,Pain Reliever,4
2025-07-12,2025,7,5,12,28,Wet,BRGY012,Mefenamic Acid,Pain Reliever,3
2025-07-30,2025,7,2,30,31,Wet,BRGY012,Mefenamic Acid,Pain Reliever,4
2025-08-21,2025,8,3,21,34,Wet,BRGY012,Mefenamic Acid,Pain Reliever,2
2025-09-13,2025,9,5,13,37,Wet,BRGY012,Mefenamic Acid,Pain Reliever,2
2025-09-30,2025,9,1,30,40,Wet,BRGY012,Mefenamic Acid,Pain Reliever,5
2025-10-19,2025,10,6,19,42,Wet,BRGY012,Mefenamic Acid,Pain Reliever,6
2025-11-06,2025,11,3,6,45,Wet,BRGY012,Mefenamic Acid,Pain Reliever,4
2025-11-23,2025,11,6,23,47,Wet,BRGY012,Mefenamic Acid,Pain Reliever,2
2025-12-15,2025,12,0,15,51,Dry,BRGY012,Mefenamic Acid,Pain Reliever,3
2026-01-07,2026,1,2,7,2,Dry,BRGY012,Mefenamic Acid,Pain Reliever,9
2026-01-28,2026,1,2,28,5,Dry,BRGY012,Mefenamic Acid,Pain Reliever,4
2026-02-18,2026,2,2,18,8,Dry,BRGY012,Mefenamic Acid,Pain Reliever,3
2026-03-07,2026,3,5,7,10,Dry,BRGY012,Mefenamic Acid,Pain Reliever,1
2026-03-29,2026,3,6,29,13,Dry,BRGY012,Mefenamic Acid,Pain Reliever,7
2026-04-16,2026,4,3,16,16,Dry,BRGY012,Mefenamic Acid,Pain Reliever,8
2026-05-09,2026,5,5,9,19,Dry,BRGY012,Mefenamic Acid,Pain Reliever,3
2026-05-27,2026,5,2,27,22,Dry,BRGY012,Mefenamic Acid,Pain Reliever,5
2026-06-16,2026,6,1,16,25,Wet,BRGY012,Mefenamic Acid,Pain Reliever,5
2026-07-03,2026,7,4,3,27,Wet,BRGY012,Mefenamic Acid,Pain Reliever,4
2026-07-26,2026,7,6,26,30,Wet,BRGY012,Mefenamic Acid,Pain Reliever,7
2021-08-20,2021,8,4,20,33,Wet,BRGY012,Loperamide,Antidiarrheal,5
2021-09-02,2021,9,3,2,35,Wet,BRGY012,Loperamide,Antidiarrheal,4
2021-09-21,2021,9,1,21,38,Wet,BRGY012,Loperamide,Antidiarrheal,4
2021-10-06,2021,10,2,6,40,Wet,BRGY012,Loperamide,Antidiarrheal,2
2021-10-23,2021,10,5,23,42,Wet,BRGY012,Loperamide,Antidiarrheal,6
2021-11-05,2021,11,4,5,44,Wet,BRGY012,Loperamide,Antidiarrheal,4
2021-11-21,2021,11,6,21,46,Wet,BRGY012,Loperamide,Antidiarrheal,4
2021-12-07,2021,12,1,7,49,Dry,BRGY012,Loperamide,Antidiarrheal,7
2021-12-23,2021,12,3,23,51,Dry,BRGY012,Loperamide,Antidiarrheal,3
2022-01-06,2022,1,3,6,1,Dry,BRGY012,Loperamide,Antidiarrheal,5
2022-01-25,2022,1,1,25,4,Dry,BRGY012,Loperamide,Antidiarrheal,6
2022-02-10,2022,2,3,10,6,Dry,BRGY012,Loperamide,Antidiarrheal,11
2022-02-24,2022,2,3,24,8,Dry,BRGY012,Loperamide,Antidiarrheal,5
2022-03-14,2022,3,0,14,11,Dry,BRGY012,Loperamide,Antidiarrheal,8
2022-04-01,2022,4,4,1,13,Dry,BRGY012,Loperamide,Antidiarrheal,12
2022-04-19,2022,4,1,19,16,Dry,BRGY012,Loperamide,Antidiarrheal,9
2022-05-05,2022,5,3,5,18,Dry,BRGY012,Loperamide,Antidiarrheal,4
2022-05-23,2022,5,0,23,21,Dry,BRGY012,Loperamide,Antidiarrheal,7
2022-06-08,2022,6,2,8,23,Wet,BRGY012,Loperamide,Antidiarrheal,6
2022-06-24,2022,6,4,24,25,Wet,BRGY012,Loperamide,Antidiarrheal,6
2022-07-09,2022,7,5,9,27,Wet,BRGY012,Loperamide,Antidiarrheal,5
2022-07-24,2022,7,6,24,29,Wet,BRGY012,Loperamide,Antidiarrheal,4
2022-08-11,2022,8,3,11,32,Wet,BRGY012,Loperamide,Antidiarrheal,7
2022-08-25,2022,8,3,25,34,Wet,BRGY012,Loperamide,Antidiarrheal,4
2022-09-09,2022,9,4,9,36,Wet,BRGY012,Loperamide,Antidiarrheal,1
2022-09-26,2022,9,0,26,39,Wet,BRGY012,Loperamide,Antidiarrheal,5
2022-10-14,2022,10,4,14,41,Wet,BRGY012,Loperamide,Antidiarrheal,8
2022-10-27,2022,10,3,27,43,Wet,BRGY012,Loperamide,Antidiarrheal,3
2022-11-10,2022,11,3,10,45,Wet,BRGY012,Loperamide,Antidiarrheal,4
2022-11-28,2022,11,0,28,48,Wet,BRGY012,Loperamide,Antidiarrheal,2
2022-12-16,2022,12,4,16,50,Dry,BRGY012,Loperamide,Antidiarrheal,7
2022-12-29,2022,12,3,29,52,Dry,BRGY012,Loperamide,Antidiarrheal,9
2023-01-12,2023,1,3,12,2,Dry,BRGY012,Loperamide,Antidiarrheal,7
2023-01-27,2023,1,4,27,4,Dry,BRGY012,Loperamide,Antidiarrheal,4
2023-02-15,2023,2,2,15,7,Dry,BRGY012,Loperamide,Antidiarrheal,4
2023-03-03,2023,3,4,3,9,Dry,BRGY012,Loperamide,Antidiarrheal,9
2023-03-18,2023,3,5,18,11,Dry,BRGY012,Loperamide,Antidiarrheal,7
2023-03-31,2023,3,4,31,13,Dry,BRGY012,Loperamide,Antidiarrheal,5
2023-04-15,2023,4,5,15,15,Dry,BRGY012,Loperamide,Antidiarrheal,4
2023-04-28,2023,4,4,28,17,Dry,BRGY012,Loperamide,Antidiarrheal,5
2023-05-17,2023,5,2,17,20,Dry,BRGY012,Loperamide,Antidiarrheal,5
2023-06-02,2023,6,4,2,22,Wet,BRGY012,Loperamide,Antidiarrheal,5
2023-06-17,2023,6,5,17,24,Wet,BRGY012,Loperamide,Antidiarrheal,3
2023-07-04,2023,7,1,4,27,Wet,BRGY012,Loperamide,Antidiarrheal,6
2023-07-17,2023,7,0,17,29,Wet,BRGY012,Loperamide,Antidiarrheal,4
2023-08-04,2023,8,4,4,31,Wet,BRGY012,Loperamide,Antidiarrheal,7
2023-08-23,2023,8,2,23,34,Wet,BRGY012,Loperamide,Antidiarrheal,10
2023-09-10,2023,9,6,10,36,Wet,BRGY012,Loperamide,Antidiarrheal,1
2023-09-23,2023,9,5,23,38,Wet,BRGY012,Loperamide,Antidiarrheal,4
2023-10-06,2023,10,4,6,40,Wet,BRGY012,Loperamide,Antidiarrheal,4
2023-10-19,2023,10,3,19,42,Wet,BRGY012,Loperamide,Antidiarrheal,3
2023-11-06,2023,11,0,6,45,Wet,BRGY012,Loperamide,Antidiarrheal,5
2023-11-23,2023,11,3,23,47,Wet,BRGY012,Loperamide,Antidiarrheal,4
2023-12-06,2023,12,2,6,49,Dry,BRGY012,Loperamide,Antidiarrheal,4
2023-12-23,2023,12,5,23,51,Dry,BRGY012,Loperamide,Antidiarrheal,5
2024-01-09,2024,1,1,9,2,Dry,BRGY012,Loperamide,Antidiarrheal,6
2024-01-23,2024,1,1,23,4,Dry,BRGY012,Loperamide,Antidiarrheal,3
2024-02-10,2024,2,5,10,6,Dry,BRGY012,Loperamide,Antidiarrheal,4
2024-02-23,2024,2,4,23,8,Dry,BRGY012,Loperamide,Antidiarrheal,4
2024-03-11,2024,3,0,11,11,Dry,BRGY012,Loperamide,Antidiarrheal,10
2024-03-29,2024,3,4,29,13,Dry,BRGY012,Loperamide,Antidiarrheal,9
2024-04-17,2024,4,2,17,16,Dry,BRGY012,Loperamide,Antidiarrheal,8
2024-04-30,2024,4,1,30,18,Dry,BRGY012,Loperamide,Antidiarrheal,9
2024-05-19,2024,5,6,19,20,Dry,BRGY012,Loperamide,Antidiarrheal,8
2024-06-03,2024,6,0,3,23,Wet,BRGY012,Loperamide,Antidiarrheal,4
2024-06-21,2024,6,4,21,25,Wet,BRGY012,Loperamide,Antidiarrheal,3
2024-07-27,2024,7,5,27,30,Wet,BRGY012,Loperamide,Antidiarrheal,2
2024-08-10,2024,8,5,10,32,Wet,BRGY012,Loperamide,Antidiarrheal,7
2024-08-29,2024,8,3,29,35,Wet,BRGY012,Loperamide,Antidiarrheal,5
2024-09-17,2024,9,1,17,38,Wet,BRGY012,Loperamide,Antidiarrheal,8
2024-10-05,2024,10,5,5,40,Wet,BRGY012,Loperamide,Antidiarrheal,1
2024-10-23,2024,10,2,23,43,Wet,BRGY012,Loperamide,Antidiarrheal,4
2024-11-10,2024,11,6,10,45,Wet,BRGY012,Loperamide,Antidiarrheal,2
2024-11-27,2024,11,2,27,48,Wet,BRGY012,Loperamide,Antidiarrheal,7
2024-12-10,2024,12,1,10,50,Dry,BRGY012,Loperamide,Antidiarrheal,4
2024-12-23,2024,12,0,23,52,Dry,BRGY012,Loperamide,Antidiarrheal,7
2025-01-08,2025,1,2,8,2,Dry,BRGY012,Loperamide,Antidiarrheal,5
2025-02-11,2025,2,1,11,7,Dry,BRGY012,Loperamide,Antidiarrheal,4
2025-03-02,2025,3,6,2,9,Dry,BRGY012,Loperamide,Antidiarrheal,4
2025-03-20,2025,3,3,20,12,Dry,BRGY012,Loperamide,Antidiarrheal,8
2025-04-05,2025,4,5,5,14,Dry,BRGY012,Loperamide,Antidiarrheal,9
2025-04-21,2025,4,0,21,17,Dry,BRGY012,Loperamide,Antidiarrheal,4
2025-05-10,2025,5,5,10,19,Dry,BRGY012,Loperamide,Antidiarrheal,10
2025-05-27,2025,5,1,27,22,Dry,BRGY012,Loperamide,Antidiarrheal,5
2025-06-10,2025,6,1,10,24,Wet,BRGY012,Loperamide,Antidiarrheal,7
2025-06-26,2025,6,3,26,26,Wet,BRGY012,Loperamide,Antidiarrheal,8
2025-07-10,2025,7,3,10,28,Wet,BRGY012,Loperamide,Antidiarrheal,4
2025-07-29,2025,7,1,29,31,Wet,BRGY012,Loperamide,Antidiarrheal,2
2025-08-12,2025,8,1,12,33,Wet,BRGY012,Loperamide,Antidiarrheal,6
2025-08-30,2025,8,5,30,35,Wet,BRGY012,Loperamide,Antidiarrheal,4
2025-09-14,2025,9,6,14,37,Wet,BRGY012,Loperamide,Antidiarrheal,3
2025-09-30,2025,9,1,30,40,Wet,BRGY012,Loperamide,Antidiarrheal,4
2025-10-18,2025,10,5,18,42,Wet,BRGY012,Loperamide,Antidiarrheal,6
2025-11-02,2025,11,6,2,44,Wet,BRGY012,Loperamide,Antidiarrheal,7
2025-11-20,2025,11,3,20,47,Wet,BRGY012,Loperamide,Antidiarrheal,6
2025-12-08,2025,12,0,8,50,Dry,BRGY012,Loperamide,Antidiarrheal,2
2025-12-27,2025,12,5,27,52,Dry,BRGY012,Loperamide,Antidiarrheal,5
2026-01-11,2026,1,6,11,2,Dry,BRGY012,Loperamide,Antidiarrheal,5
2026-01-25,2026,1,6,25,4,Dry,BRGY012,Loperamide,Antidiarrheal,9
2026-02-12,2026,2,3,12,7,Dry,BRGY012,Loperamide,Antidiarrheal,4
2026-02-26,2026,2,3,26,9,Dry,BRGY012,Loperamide,Antidiarrheal,5
2026-03-12,2026,3,3,12,11,Dry,BRGY012,Loperamide,Antidiarrheal,5
2026-03-25,2026,3,2,25,13,Dry,BRGY012,Loperamide,Antidiarrheal,9
2026-04-13,2026,4,0,13,16,Dry,BRGY012,Loperamide,Antidiarrheal,7
2026-04-30,2026,4,3,30,18,Dry,BRGY012,Loperamide,Antidiarrheal,5
2026-05-15,2026,5,4,15,20,Dry,BRGY012,Loperamide,Antidiarrheal,8
2026-06-03,2026,6,2,3,23,Wet,BRGY012,Loperamide,Antidiarrheal,4
2026-06-19,2026,6,4,19,25,Wet,BRGY012,Loperamide,Antidiarrheal,2
2026-07-04,2026,7,5,4,27,Wet,BRGY012,Loperamide,Antidiarrheal,4
2026-07-23,2026,7,3,23,30,Wet,BRGY012,Loperamide,Antidiarrheal,4
2026-08-10,2026,8,0,10,33,Wet,BRGY012,Loperamide,Antidiarrheal,6
2021-08-17,2021,8,1,17,33,Wet,BRGY012,Metformin 500mg,Maintenance,4
2021-08-28,2021,8,5,28,34,Wet,BRGY012,Metformin 500mg,Maintenance,5
2021-09-07,2021,9,1,7,36,Wet,BRGY012,Metformin 500mg,Maintenance,3
2021-09-20,2021,9,0,20,38,Wet,BRGY012,Metformin 500mg,Maintenance,4
2021-10-04,2021,10,0,4,40,Wet,BRGY012,Metformin 500mg,Maintenance,6
2021-10-18,2021,10,0,18,42,Wet,BRGY012,Metformin 500mg,Maintenance,5
2021-10-31,2021,10,6,31,43,Wet,BRGY012,Metformin 500mg,Maintenance,5
2021-11-09,2021,11,1,9,45,Wet,BRGY012,Metformin 500mg,Maintenance,6
2021-11-21,2021,11,6,21,46,Wet,BRGY012,Metformin 500mg,Maintenance,10
2021-12-02,2021,12,3,2,48,Dry,BRGY012,Metformin 500mg,Maintenance,4
2021-12-15,2021,12,2,15,50,Dry,BRGY012,Metformin 500mg,Maintenance,1
2021-12-24,2021,12,4,24,51,Dry,BRGY012,Metformin 500mg,Maintenance,7
2022-01-07,2022,1,4,7,1,Dry,BRGY012,Metformin 500mg,Maintenance,4
2022-01-16,2022,1,6,16,2,Dry,BRGY012,Metformin 500mg,Maintenance,3
2022-01-28,2022,1,4,28,4,Dry,BRGY012,Metformin 500mg,Maintenance,4
2022-02-11,2022,2,4,11,6,Dry,BRGY012,Metformin 500mg,Maintenance,3
2022-02-21,2022,2,0,21,8,Dry,BRGY012,Metformin 500mg,Maintenance,5
2022-03-01,2022,3,1,1,9,Dry,BRGY012,Metformin 500mg,Maintenance,4
2022-03-13,2022,3,6,13,10,Dry,BRGY012,Metformin 500mg,Maintenance,4
2022-03-24,2022,3,3,24,12,Dry,BRGY012,Metformin 500mg,Maintenance,2
2022-04-03,2022,4,6,3,13,Dry,BRGY012,Metformin 500mg,Maintenance,5
2022-04-12,2022,4,1,12,15,Dry,BRGY012,Metformin 500mg,Maintenance,6
2022-04-22,2022,4,4,22,16,Dry,BRGY012,Metformin 500mg,Maintenance,5
2022-05-02,2022,5,0,2,18,Dry,BRGY012,Metformin 500mg,Maintenance,3
2022-05-11,2022,5,2,11,19,Dry,BRGY012,Metformin 500mg,Maintenance,6
2022-05-22,2022,5,6,22,20,Dry,BRGY012,Metformin 500mg,Maintenance,3
2022-06-05,2022,6,6,5,22,Wet,BRGY012,Metformin 500mg,Maintenance,3
2022-06-15,2022,6,2,15,24,Wet,BRGY012,Metformin 500mg,Maintenance,4
2022-06-29,2022,6,2,29,26,Wet,BRGY012,Metformin 500mg,Maintenance,5
2022-07-07,2022,7,3,7,27,Wet,BRGY012,Metformin 500mg,Maintenance,3
2022-07-21,2022,7,3,21,29,Wet,BRGY012,Metformin 500mg,Maintenance,2
2022-07-29,2022,7,4,29,30,Wet,BRGY012,Metformin 500mg,Maintenance,5
2022-08-10,2022,8,2,10,32,Wet,BRGY012,Metformin 500mg,Maintenance,5
2022-09-03,2022,9,5,3,35,Wet,BRGY012,Metformin 500mg,Maintenance,4
2022-09-13,2022,9,1,13,37,Wet,BRGY012,Metformin 500mg,Maintenance,3
2022-09-24,2022,9,5,24,38,Wet,BRGY012,Metformin 500mg,Maintenance,3
2022-10-07,2022,10,4,7,40,Wet,BRGY012,Metformin 500mg,Maintenance,4
2022-10-21,2022,10,4,21,42,Wet,BRGY012,Metformin 500mg,Maintenance,6
2022-11-02,2022,11,2,2,44,Wet,BRGY012,Metformin 500mg,Maintenance,3
2022-11-15,2022,11,1,15,46,Wet,BRGY012,Metformin 500mg,Maintenance,2
2022-11-29,2022,11,1,29,48,Wet,BRGY012,Metformin 500mg,Maintenance,7
2022-12-11,2022,12,6,11,49,Dry,BRGY012,Metformin 500mg,Maintenance,4
2022-12-23,2022,12,4,23,51,Dry,BRGY012,Metformin 500mg,Maintenance,3
2023-01-04,2023,1,2,4,1,Dry,BRGY012,Metformin 500mg,Maintenance,4
2023-01-16,2023,1,0,16,3,Dry,BRGY012,Metformin 500mg,Maintenance,7
2023-01-27,2023,1,4,27,4,Dry,BRGY012,Metformin 500mg,Maintenance,8
2023-02-10,2023,2,4,10,6,Dry,BRGY012,Metformin 500mg,Maintenance,4
2023-02-19,2023,2,6,19,7,Dry,BRGY012,Metformin 500mg,Maintenance,5
2023-03-13,2023,3,0,13,11,Dry,BRGY012,Metformin 500mg,Maintenance,5
2023-03-26,2023,3,6,26,12,Dry,BRGY012,Metformin 500mg,Maintenance,4
2023-04-09,2023,4,6,9,14,Dry,BRGY012,Metformin 500mg,Maintenance,4
2023-04-22,2023,4,5,22,16,Dry,BRGY012,Metformin 500mg,Maintenance,4
2023-05-06,2023,5,5,6,18,Dry,BRGY012,Metformin 500mg,Maintenance,1
2023-06-01,2023,6,3,1,22,Wet,BRGY012,Metformin 500mg,Maintenance,7
2023-06-14,2023,6,2,14,24,Wet,BRGY012,Metformin 500mg,Maintenance,5
2023-06-26,2023,6,0,26,26,Wet,BRGY012,Metformin 500mg,Maintenance,3
2023-07-04,2023,7,1,4,27,Wet,BRGY012,Metformin 500mg,Maintenance,4
2023-07-13,2023,7,3,13,28,Wet,BRGY012,Metformin 500mg,Maintenance,4
2023-07-26,2023,7,2,26,30,Wet,BRGY012,Metformin 500mg,Maintenance,1
2023-08-03,2023,8,3,3,31,Wet,BRGY012,Metformin 500mg,Maintenance,6
2023-08-16,2023,8,2,16,33,Wet,BRGY012,Metformin 500mg,Maintenance,4
2023-08-29,2023,8,1,29,35,Wet,BRGY012,Metformin 500mg,Maintenance,3
2023-09-07,2023,9,3,7,36,Wet,BRGY012,Metformin 500mg,Maintenance,4
2023-09-17,2023,9,6,17,37,Wet,BRGY012,Metformin 500mg,Maintenance,4
2023-09-25,2023,9,0,25,39,Wet,BRGY012,Metformin 500mg,Maintenance,7
2023-10-04,2023,10,2,4,40,Wet,BRGY012,Metformin 500mg,Maintenance,5
2023-10-12,2023,10,3,12,41,Wet,BRGY012,Metformin 500mg,Maintenance,3
2023-10-26,2023,10,3,26,43,Wet,BRGY012,Metformin 500mg,Maintenance,5
2023-11-05,2023,11,6,5,44,Wet,BRGY012,Metformin 500mg,Maintenance,7
2023-11-17,2023,11,4,17,46,Wet,BRGY012,Metformin 500mg,Maintenance,2
2023-11-27,2023,11,0,27,48,Wet,BRGY012,Metformin 500mg,Maintenance,4
2023-12-10,2023,12,6,10,49,Dry,BRGY012,Metformin 500mg,Maintenance,4
2023-12-30,2023,12,5,30,52,Dry,BRGY012,Metformin 500mg,Maintenance,4
2024-01-10,2024,1,2,10,2,Dry,BRGY012,Metformin 500mg,Maintenance,5
2024-01-20,2024,1,5,20,3,Dry,BRGY012,Metformin 500mg,Maintenance,1
2024-02-02,2024,2,4,2,5,Dry,BRGY012,Metformin 500mg,Maintenance,4
2024-02-22,2024,2,3,22,8,Dry,BRGY012,Metformin 500mg,Maintenance,4
2024-03-02,2024,3,5,2,9,Dry,BRGY012,Metformin 500mg,Maintenance,4
